City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,ciudad lazaro cardenas,17.9583,-102.2,29.560000000000002,72,62,2.63,MX,2023-10-16
73,talanga,14.4,-87.0833,30.30000000000001,79,97,2.54,HN,2023-10-16
74,bikenibeu village,1.3673,173.1241,25.980000000000018,94,75,5.66,KI,2023-10-16
75,altai,46.3722,96.2583,-3.1999999999999886,59,70,0.92,MN,2023-10-16
76,amursk,50.2261,136.8994,2.7700000000000387,88,100,6.74,RU,2023-10-16
77,dunedin,-45.8742,170.5036,8.220000000000027,83,100,1.34,NZ,2023-10-16
78,maun,-19.9833,23.4167,27.980000000000018,14,0,2.06,BW,2023-10-16
79,west island,-12.1568,96.8225,25.99000000000001,83,75,5.66,CC,2023-10-16
80,bamboo flat,11.7,92.7167,26.05000000000001,94,40,1.03,IN,2023-10-16
81,isola di capo rizzuto,38.96,17.0933,19.55000000000001,65,39,1.28,IT,2023-10-16
82,kodiak,57.79,-152.4072,7.730000000000018,93,100,2.57,US,2023-10-16
83,lazaro cardenas,17.9583,-102.2,29.560000000000002,72,62,2.63,MX,2023-10-16
84,grytviken,-54.2811,-36.5092,-0.7799999999999727,83,12,4.77,GS,2023-10-16
85,ulsteinvik,62.3432,5.8487,10.420000000000016,91,100,7.15,NO,2023-10-16
86,gaiman,-43.2897,-65.4929,16.620000000000005,29,39,6.07,AR,2023-10-16
87,riosucio,5.4216,-75.7032,21.670000000000016,90,68,0.36,CO,2023-10-16
88,port elizabeth,-33.918,25.5701,17.160000000000025,90,75,4.63,ZA,2023-10-16
89,hawaiian paradise park,19.5933,-154.9731,27.80000000000001,79,20,3.6,US,2023-10-16
90,petropavlovsk-kamchatsky,53.0452,158.6483,7.330000000000041,88,75,6.0,RU,2023-10-16
91,prince rupert,54.3161,-130.3201,12.050000000000011,96,100,7.2,CA,2023-10-16
92,coahuayana de hidalgo,18.7,-103.6583,30.670000000000016,75,55,2.72,MX,2023-10-16
93,atafu village,-8.5421,-172.5159,28.25,78,62,8.2,TK,2023-10-16
94,ribeira grande,38.5167,-28.7,20.430000000000007,77,20,3.58,PT,2023-10-16
95,cabo san lucas,22.8909,-109.9124,34.610000000000014,62,0,6.17,MX,2023-10-16
96,coquimbo,-29.9533,-71.3436,17.850000000000023,63,0,6.69,CL,2023-10-16
97,menominee,45.1078,-87.6143,14.04000000000002,51,0,3.09,US,2023-10-16
98,puerto ayacucho,5.6639,-67.6236,30.460000000000036,66,32,0.53,VE,2023-10-16
99,hamilton,39.1834,-84.5333,12.810000000000002,75,100,4.12,US,2023-10-16
100,rio grande,-32.035,-52.0986,22.060000000000002,95,100,3.02,BR,2023-10-16
101,shenkursk,62.1091,42.896,4.410000000000025,80,100,4.47,RU,2023-10-16
